1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	2
11	2
12	2
13	2
14	2
15	2
16	3
17	3
18	3
19	3
20	3
21	3
22	3
23	3
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	5
32	5
33	5
34	6
35	6
36	6
37	6
38	7
39	7
40	7
41	7
42	7
43	7
44	7
45	7
46	7
47	7
48	7
49	7
50	7
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	3
68	3
69	3
70	3
71	3
72	3
73	3
74	4
75	4
76	4
77	4
78	4
79	5
80	5
81	6
82	6
83	6
84	6
85	6
86	6
87	6
88	6
89	6
90	7
91	7
92	7
93	7
94	7
95	7
96	7
97	7
98	7
99	7
100	7
